sa2_code,sa2_name,centroid_lat,centroid_lon
118021567,Maroubra - South,-33.94833032525586,151.2487658434778
118021568,Maroubra - West,-33.9439253195733,151.23447184402008
118021569,Randwick - North,-33.9080770388267,151.24414424231776
118021570,Randwick - South,-33.91975240429216,151.2393374192736
118021651,Coogee - Clovelly,-33.917422212761124,151.25693685869027
118021652,Malabar - La Perouse,-33.97664861636513,151.24705133184415
118021653,Matraville - Chifley,-33.96269030395706,151.23653971598074
118021654,South Coogee,-33.932465319299034,151.2544736467134
119011354,Bass Hill - Georges Hall,-33.90111958265785,150.98823443361303
119011355,Chullora,-33.89266521713595,151.0439902750938
119011356,Condell Park,-33.92669833279177,150.99998808853542
119011358,Padstow,-33.957944564492095,151.03232461693597
119011360,Revesby,-33.95201077221462,151.01622053412635
119011361,Yagoona - Birrong,-33.90220729797476,151.0201329973201
119011571,Bankstown - North,-33.91334401711468,151.03099786683
119011572,Bankstown - South,-33.92770892692079,151.0322381208788
119011655,Greenacre - North,-33.89942396283838,151.06065922656813
119011656,Greenacre - South,-33.91135233365862,151.05530767611677
119011657,Panania (North) - Milperra,-33.944464081722195,150.98439289845498
119011658,Panania (South) - Picnic Point,-33.96803817510147,151.00290066717403
119021362,Belmore - Belfield,-33.91325143354701,151.08796598759074
119021366,Punchbowl,-33.93101944201701,151.051842274819
119021367,Roselands,-33.93525486555999,151.07567426814538
119021573,Lakemba,-33.918986840558624,151.0764006447174
119021574,Wiley Park,-33.92420334641799,151.06736697270108
119021659,Campsie - North,-33.90706465543615,151.10214730357453
119021660,Campsie - South,-33.914525821029585,151.10340534762514
119021661,Canterbury - South,-33.920028903778245,151.10832344737375
119021662,Earlwood,-33.924699491390825,151.1274842608438
119021663,Kingsgrove - North,-33.93550981149603,151.09792402511087
119031370,Narwee - Beverly Hills,-33.948806706521374,151.076623025945
119031371,Oatley - Hurstville Grove,-33.97940914992478,151.08547065235524
119031372,Peakhurst - Lugarno,-33.97089662084133,151.05213772621812
119031373,Riverwood,-33.948606469277095,151.05247059434564
119031374,South Hurstville - Blakehurst,-33.98424750060065,151.10572014562877
119031664,Hurstville - Central,-33.965134656013845,151.10759784112318
119031665,Hurstville - North,-33.956743861581224,151.09732120977674
119031666,Mortdale - Oatley,-33.97464710623847,151.0700355250794
119031667,Penshurst,-33.960430283187776,151.08289262341881
119041377,Kingsgrove (South) - Bardwell Park,-33.941791733434954,151.11034928275288
119041378,Kogarah,-33.968268185313185,151.13746277890303
119041379,Kogarah Bay - Carlton - Allawah,-33.97669901093663,151.1239022620239
