sa2_code,dist_nearest_competitor_km,competitors_within_5km,competitors_within_10km
114021286,3.5943799529601876,2,2
114021287,1.8706881942687064,1,1
114021288,13.72769196253451,0,0
114021289,14.852914562658595,0,0
115011290,3.1736850630036053,1,3
115011291,2.3166994496680386,1,3
115011294,3.4803343005439893,1,1
115011296,4.591183797387758,1,2
115011553,0.2959105831175947,1,3
115011554,3.68196417013992,1,1
115011555,1.7946296915845779,1,1
115011556,2.4686102604683167,1,2
115011557,1.7350317482492645,1,3
115011558,5.670563793121678,0,1
115011621,3.354517526803516,1,1
115011622,3.825957340548413,1,3
115021297,12.720856538420504,0,0
115021298,21.53887834363658,0,0
115031299,28.230920713644807,0,0
115031300,6.977445367140774,0,2
115041301,4.187223541514767,1,3
115041623,7.831607184942129,0,3
115041624,6.410416740278474,0,1
115041625,7.339263444311933,0,2
116011303,3.147558553030304,1,6
116011304,4.4008675647021,1,5
116011306,4.010421684265829,2,4
116011307,3.8623959959283694,1,4
116011560,0.22314516027800232,2,5
116011561,1.6687504642547109,1,5
116011626,1.4533906361126459,2,5
116011627,1.9797143998549107,2,5
116021309,4.740853623099975,1,4
116021562,5.766739753002597,0,4
116021563,5.318470159129053,0,4
116021628,6.793421577090315,0,3
116021629,3.079804518455071,1,2
116021630,3.2003323309802,1,3
116021631,2.2822781922583992,1,3
116021632,4.985455539588426,1,2
116021633,5.909075135578365,0,3
116031313,4.862960102267266,1,3
116031314,4.9918447875109,1,3
116031315,4.7240701101446065,1,3
116031316,5.91516327496999,0,4
116031317,3.3885155610622,1,3
116031318,3.5296574220292194,2,4
116031319,1.70307325645474,1,3
117011320,5.458756821405073,0,7
117011321,4.2607132357166995,1,9
117011323,4.3235118966656545,1,8
117011324,7.305747041488935,0,5
117011325,3.8734308908516097,2,9
117011634,2.7363210172058388,2,9
117011635,1.8432511269448348,3,9
117021327,1.6524310317577882,5,10
117021328,1.8061271487583341,4,9
117021636,0.8103834041526757,5,9
117021637,0.768953259454713,5,9
117031329,1.4460250262032626,7,10
117031330,0.3331409202851606,7,10
117031331,1.27573323903862,8,10
117031333,1.5111058521520577,6,10
117031336,1.7772922483014522,7,10
117031638,0.7683039080033462,8,10
117031639,1.7238498266153668,8,10
117031640,0.5937819674894944,8,10
117031641,1.199883919177598,6,10
117031642,1.587710771397634,8,10
117031643,1.3349625190926295,6,10
117031644,0.29155256822583026,7,10
117031645,1.0775202497938696,7,10
117031646,1.5265608409363385,7,10
117031647,1.8807864835271046,7,10
117031648,1.5640534459314164,7,10
118011339,1.9707705461631457,2,8
118011340,2.7044992272029402,2,8
118011341,0.7836260745402994,2,9
118011342,1.348718505824701,6,10
118011344,3.7932866460508845,2,7
118011345,0.708978616729817,6,10
118011346,4.204040571987747,3,8
118011347,0.5454022825218784,4,9
118011649,1.5903450237771422,4,9
118011650,1.4009026203507098,5,10
118021564,2.634636310556681,4,10
118021565,3.712564567460255,3,9
118021566,5.3632357670248245,0,8
118021567,6.367155337820107,0,7
118021568,5.31218743963421,0,8
118021569,1.9002400059109101,3,9
118021570,3.253851509521667,3,9
118021651,3.0813117653463378,2,9
118021652,8.840122899436263,0,2
118021653,7.013082073551046,0,5
118021654,4.6580965964625,1,8
119011354,2.371249048588084,1,6
119011355,4.424325057130472,1,5
119011356,3.2505070495183266,2,4
119011358,1.7158590936886373,2,4
119011360,2.8295914814917853,2,4
119011361,3.544221299318335,1,5
119011571,2.069478640453368,1,5
119011572,0.49853531755612507,2,4
119011655,4.314912975920309,1,6
119011656,2.9554597932973774,1,6
119011657,4.8531034256890635,1,4
119011658,4.396183378874076,2,5
119021362,5.325724966957099,0,8
119021366,1.5833419417210288,2,5
119021367,3.800769791940014,2,4
119021573,4.0990165307337785,1,6
119021574,3.1271012258518933,2,5
119021659,4.054462196285859,2,8
119021660,4.582248230094508,2,8
119021661,4.374941137531577,2,7
119021662,2.951692486287523,2,9
119021663,5.3354032120799255,0,7
119031370,2.881448328413526,2,6
119031371,3.764865063446018,1,5
119031372,0.9523856017383637,2,4
119031373,1.5602858756131293,2,3
119031374,4.791693239810678,1,5
119031664,5.310768513359929,0,7
119031665,4.4019259925783505,1,6
119031666,2.2812740892601897,1,4
119031667,3.0330950265801393,1,6
119041377,5.365399460477389,0,8
119041378,6.321244085656133,0,7
119041379,5.283223604942736,0,6
119041380,5.708941739094698,0,7
119041381,4.713600917863363,1,7
119041382,3.7060171316384256,1,4
119041668,3.2065917489025644,1,10
119041669,5.703329380531748,0,8
119041670,6.177792860726889,0,9
119041671,2.3901873134686853,3,9
120011383,4.093233557673987,1,7
120011385,3.2491356209338096,2,11
120011386,2.4336938878926935,2,9
120011672,4.410633367419031,1,4
120011673,4.385121532392329,1,3
120021387,2.715639880720511,4,10
120021389,1.681178393287303,6,10
120021674,0.1416736336280614,7,10
120021675,1.4255904309285328,6,10
120031392,2.896975865212547,2,9
120031393,3.2184666359129066,1,9
120031394,1.501828768764703,5,9
120031395,0.44172081420710185,4,9
120031396,3.9161397044524175,1,5
120031576,5.490355501139541,0,7
