store_name,latitude,longitude,sa2_code,sa2_name,sa3_name,sa4_name,state
Adelaide Airport,-34.93407,138.5355417,404031104,Adelaide Airport,West Torrens,Adelaide - West,South Australia
Berri,-34.2605618,140.6130242,407031160,Berri,Murray and Mallee,South Australia - South East,South Australia
Edwardstown,-34.9854834,138.5735858,403021058,Edwardstown,Marion,Adelaide - South,South Australia
Gawler,-34.5978,138.7478,402011026,Gawler - South,Gawler - Two Wells,Adelaide - North,South Australia
Kent Town,-34.9193806,138.6197365,401051017,Norwood (SA),Norwood - Payneham - St Peters,Adelaide - Central and Hills,South Australia
Marion,-35.0163,138.5442,403021064,Warradale,Marion,Adelaide - South,South Australia
Mile End,-34.9329944,138.5755286,404031108,Richmond (SA),West Torrens,Adelaide - West,South Australia
Modbury,-34.8327,138.6942,402051052,Hope Valley - Modbury,Tea Tree Gully,Adelaide - North,South Australia
Mt Barker,-35.0892,138.8754,401021007,Mount Barker,Adelaide Hills,Adelaide - Central and Hills,South Australia
Mt Gambier,-37.8058991,140.7932419,407021173,Mount Gambier - East,Limestone Coast,South Australia - South East,South Australia
Munno Para West,-34.6592,138.653,402021032,Munno Para West - Angle Vale,Playford,Adelaide - North,South Australia
Murray Bridge,-35.1288331,139.2583163,407031165,Murray Bridge,Murray and Mallee,South Australia - South East,South Australia
Noarlunga,-35.1810794,138.4938965,403041177,Seaford - Seaford Meadows,Onkaparinga,Adelaide - South,South Australia
Parafield,-34.7926148,138.6442832,402041042,Parafield,Salisbury,Adelaide - North,South Australia
Port Augusta,-32.4800126,137.7508733,406021142,Port Augusta,Outback - North and East,South Australia - Outback,South Australia
Port Lincoln,-34.7315592,135.8610607,406011133,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,South Australia
Prospect,-34.8736265,138.5822543,401061021,Prospect,Prospect - Walkerville,Adelaide - Central and Hills,South Australia
Reynella,-35.0974314,138.5457129,403041086,Reynella,Onkaparinga,Adelaide - South,South Australia
Seaford,-35.1764,138.4842,403041177,Seaford - Seaford Meadows,Onkaparinga,Adelaide - South,South Australia
Victor Harbor,-35.5362,138.6375,407011148,Victor Harbor,Fleurieu - Kangaroo Island,South Australia - South East,South Australia
Windsor Gardens,-34.8640428,138.6481026,402031038,Windsor Gardens,Port Adelaide - East,Adelaide - North,South Australia
Woodville,-34.8748977,138.5295321,404011097,Woodville - Cheltenham,Charles Sturt,Adelaide - West,South Australia
Burnie,-41.0638344,145.9143845,604011077,Burnie - Wivenhoe,Burnie - Ulverstone,West and North West,Tasmania
Devonport,-41.1928513,146.339467,604021088,Miandetta - Don,Devonport,West and North West,Tasmania
Glenorchy,-42.8309325,147.2870368,601031017,Glenorchy,Hobart - North West,Hobart,Tasmania
Kings Meadows,-41.4807519,147.1541649,602011037,Kings Meadows - Punchbowl,Launceston,Launceston and North East,Tasmania
Kingston,-42.9852006,147.2927984,601041022,Kingston - Huntingfield,Hobart - South and West,Hobart,Tasmania
Mornington,-42.8619576,147.3922663,601021009,Mornington - Warrane,Hobart - North East,Hobart,Tasmania
North Launceston,-41.4295,147.1308,602011036,Invermay,Launceston,Launceston and North East,Tasmania
Altona,-37.8456229,144.8437314,213021343,Altona North,Hobsons Bay,Melbourne - West,Victoria
Bairnsdale,-37.8359947,147.6041332,205021081,Bairnsdale,Gippsland - East,Latrobe - Gippsland,Victoria
Ballarat,-37.5918608,143.8081048,201011006,Delacombe,Ballarat,Ballarat,Victoria
Bayswater,-37.8303746,145.2798282,211031263,Bayswater North,Maroondah,Melbourne - Outer East,Victoria
Bendigo,-36.8086842,144.242824,202011022,Kangaroo Flat - Golden Square,Bendigo,Bendigo,Victoria
Box Hill,-37.8365162,145.1334285,207031163,Box Hill,Whitehorse - West,Melbourne - Inner East,Victoria
Broadmeadows,-37.6754621,144.9206631,210051242,Broadmeadows,Tullamarine - Broadmeadows,Melbourne - North West,Victoria
Brunswick,-37.7676014,144.9615723,206011496,Brunswick - South,Brunswick - Coburg,Melbourne - Inner,Victoria
Caroline Springs,-37.76032,144.74473,213041359,Rockbank - Mount Cottrell,Melton - Bacchus Marsh,Melbourne - West,Victoria
Carrum Downs,-38.0955108,145.1740083,214011370,Carrum Downs,Frankston,Mornington Peninsula,Victoria
Chadstone,-37.8775077,145.0929395,212051319,Ashwood - Chadstone,Monash,Melbourne - South East,Victoria
Clyde North,-38.0923928,145.3338976,212031556,Clyde North - South,Casey - South,Melbourne - South East,Victoria
Coburg,-37.7323047,144.960096,210031236,Coburg North,Moreland - North,Melbourne - North West,Victoria
Colac,-38.3415576,143.5914787,217031472,Colac,Colac - Corangamite,Warrnambool and South West,Victoria
